market|ZoneName|network|broadcastday|broadcastweek|quarterhrcode|CostPer1KHHImp|HHImp|C25Imp|C611Imp|M1220Imp|M2134Imp|M3454Imp|M55PlusImp|W1220Imp|W2134Imp|W3454Imp|W55PlusImp
Atlanta|Clayton GA|CNN|2014-10-06|41|0515|3|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|0530|2|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|0545|3|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|0600|4|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|0615|1|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|0630|6|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|0645|8|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|0700|9|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|0715|33|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|0730|32|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|0745|33|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|0800|34|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|0815|31|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|0830|36|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|0845|3|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|0900|2|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|0915|3|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|0930|4|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|0945|1|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|1000|6|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|1015|8|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1030|9|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1045|33|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|1100|32|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|1115|33|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|1130|34|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|1145|31|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|1200|36|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|1215|33|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1230|34|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1245|32|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|1300|33|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|1315|30|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1330|9|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1345|8|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|1400|7|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|1415|6|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|1430|1|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|1445|4|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|1500|3|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|1515|2|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1530|3|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1545|33|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|1600|32|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|1615|33|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1630|34|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1645|37|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|1700|23|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|1715|22|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|1730|21|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|1745|3|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|1800|2|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|1815|3|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1830|4|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1845|1|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|1900|6|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|1915|8|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|1930|9|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|1945|33|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|2000|32|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|2115|33|3810|1|8|97|381|97|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-06|41|2130|34|3110|1|38|331|389|397|329|1|31|821|311
Atlanta|Clayton GA|CNN|2014-10-06|41|2145|31|3210|1|38|331|389|397|331|1|31|811|811
Atlanta|Clayton GA|CNN|2014-10-06|41|2200|36|8210|1|38|231|189|397|374|1|31|111|111
Atlanta|Clayton GA|CNN|2014-10-06|41|2215|3|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|2230|2|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|2245|3|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|2300|4|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-06|41|2315|1|8349|3|2|832|791|383|041|32|10|810|041
Atlanta|Clayton GA|CNN|2014-10-06|41|2330|6|421|8|2|14|97|331|21|47|04|47|74
Atlanta|Clayton GA|CNN|2014-10-06|41|2345|8|421|8|2|14|91|311|21|41|08|49|71
Atlanta|Clayton GA|CNN|2014-10-06|41|0000|9|121|8|2|34|41|91|31|41|08|41|01
Atlanta|Clayton GA|CNN|2014-10-07|41|0515|33|3310|1|3|98|331|98|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-07|41|0530|32|3110|1|33|331|339|398|329|1|31|321|311
Atlanta|Clayton GA|CNN|2014-10-07|41|0545|33|3210|1|33|331|339|398|331|1|31|311|311
